iter	Passed	Remaining
400	19279	557657
401	19325	557562
402	19369	557400
403	19419	557405
404	19464	557261
405	19510	557159
406	19562	557209
407	19605	557023
408	19649	556854
409	19697	556813
410	19749	556882
411	19798	556843
412	19847	556830
413	19893	556743
414	19943	556743
415	19987	556571
416	20035	556528
417	20086	556560
418	20131	556422
419	20177	556328
420	20230	556404
421	20279	556376
422	20332	556467
423	20387	556627
424	20437	556614
425	20484	556546
426	20541	556729
427	20585	556575
428	20635	556594
429	20683	556543
430	20731	556487
431	20773	556260
432	20818	556144
433	20867	556105
434	20913	555997
435	20962	555973
436	21007	555860
437	21055	555816
438	21100	555688
439	21150	555686
440	21198	555637
441	21251	555704
442	21294	555533
443	21339	555402
444	21387	555350
445	21438	555389
446	21482	555227
447	21527	555113
448	21573	555008
449	21624	555036
450	21674	555039
451	21727	555110
452	21771	554948
453	21816	554832
454	21863	554762
455	21911	554714
456	21956	554576
457	22000	554436
458	22048	554382
459	22095	554314
460	22146	554330
461	22194	554292
462	22255	554559
463	22308	554630
464	22352	554481
465	22405	554548
466	22460	554680
467	22507	554609
468	22558	554636
469	22608	554637
470	22650	554432
471	22695	554299
472	22747	554347
473	22802	554484
474	22855	554554
475	22899	554406
476	22940	554188
477	22985	554052
478	23040	554174
479	23094	554273
480	23137	554099
481	23187	554083
482	23238	554114
483	23280	553927
484	23334	554003
485	23374	553781
486	23427	553835
487	23479	553893
488	23532	553941
489	23581	553935
490	23633	553966
491	23685	554013
492	23729	553855
493	23774	553751
494	23823	553707
495	23877	553804
496	23923	553699
497	23972	553686
498	24019	553614
499	24062	553444
500	24106	553301
501	24156	553285
502	24206	553284
503	24255	553267
504	24301	553161
505	24346	553038
506	24397	553050
507	24450	553111
508	24502	553170
509	24550	553109
510	24595	552982
511	24648	553045
512	24702	553132
513	24755	553189
514	24805	553179
515	24849	553043
516	24904	553143
517	24960	553281
518	25012	553316
519	25055	553140
520	25109	553220
521	25162	553286
522	25212	553285
523	25256	553126
524	25311	553228
525	25362	553256
526	25405	553084
527	25455	553069
528	25505	553069
529	25558	553132
530	25611	553174
531	25654	553018
532	25700	552915
533	25749	552880
534	25790	552687
535	25836	552602
536	25881	552480
537	25933	552516
538	25981	552465
539	26034	552514
540	26079	552397
541	26124	552277
542	26176	552300
543	26219	552157
544	26274	552238
545	26325	552248
546	26369	552124
547	26422	552175
548	26467	552050
549	26518	552057
550	26570	552105
551	26615	551991
552	26667	552003
553	26712	551902
554	26766	551977
555	26809	551806
556	26853	551671
557	26902	551651
558	26945	551488
559	26993	551444
560	27047	551507
561	27101	551574
562	27143	551407
563	27192	551367
564	27241	551329
565	27295	551402
566	27345	551393
567	27387	551227
568	27434	551153
569	27481	551070
570	27530	551049
571	27581	551055
572	27635	551118
573	27688	551159
574	27742	551228
575	27786	551096
576	27832	551000
577	27875	550860
578	27921	550770
579	27968	550684
580	28021	550732
581	28073	550768
582	28131	550906
583	28184	550958
584	28226	550769
585	28265	550556
586	28318	550599
587	28370	550615
588	28421	550633
589	28466	550519
590	28517	550517
591	28559	550346
592	28614	550425
593	28662	550373
594	28716	550430
595	28770	550498
596	28815	550387
597	28898	551008
598	28943	550895
599	28988	550780
600	29034	550685
601	29085	550689
602	29135	550668
603	29186	550672
604	29240	550734
605	29286	550634
606	29331	550533
607	29386	550611
608	29435	550568
609	29478	550424
610	29528	550404
611	29581	550443
612	29629	550387
613	29672	550248
614	29715	550095
615	29769	550163
616	29819	550131
617	29876	550256
618	29930	550312
619	29986	550397
620	30036	550387
621	30081	550271
622	30129	550211
623	30174	550112
624	30228	550152
625	30272	550031
626	30326	550092
627	30374	550026
628	30427	550070
629	30477	550042
630	30519	549885
631	30564	549783
632	30618	549819
633	30660	549668
634	30714	549711
635	30759	549610
636	30807	549558
637	30852	549447
638	30893	549272
639	30948	549328
640	30998	549325
641	31051	549342
642	31098	549283
643	31144	549195
644	31194	549172
645	31249	549238
646	31302	549261
647	31357	549345
648	31408	549328
649	31459	549339
650	31514	549404
651	31566	549418
652	31619	549443
653	31673	549496
654	31718	549392
655	31772	549429
656	31819	549358
657	31861	549196
658	31906	549090
659	31961	549156
660	32008	549077
661	32051	548946
662	32100	548900
663	32156	548977
664	32199	548838
665	32249	548821
666	32296	548748
667	32337	548580
668	32388	548563
669	32434	548481
670	32485	548470
671	32536	548478
672	32581	548360
673	32635	548414
674	32681	548319
675	32727	548232
676	32781	548285
677	32828	548209
678	32878	548181
679	32927	548144
680	32979	548164
681	33032	548188
682	33074	548034
683	33120	547937
684	33166	547855
685	33217	547850
686	33264	547771
687	33310	547693
688	33364	547726
689	33412	547669
690	33475	547864
691	33520	547754
692	33572	547768
693	33614	547619
694	33661	547550
695	33711	547520
696	33758	547452
697	33805	547378
698	33860	547442
699	33906	547345
700	33963	547431
701	34013	547416
702	34062	547381
703	34112	547351
704	34159	547273
705	34210	547270
706	34266	547345
707	34310	547224
708	34358	547167
709	34410	547168
710	34461	547168
711	34519	547270
712	34567	547210
713	34612	547104
714	34655	546973
715	34696	546805
716	34752	546886
717	34799	546813
718	34848	546762
719	34901	546784
720	34951	546765
721	34997	546678
722	35051	546711
723	35102	546712
724	35150	546655
725	35194	546533
726	35244	546510
727	35294	546487
728	35339	546381
729	35393	546414
730	35435	546269
731	35482	546202
732	35530	546143
733	35579	546106
734	35622	545965
735	35668	545884
736	35709	545714
737	35750	545561
738	35802	545568
739	35846	545446
740	35894	545395
741	35939	545298
742	35991	545294
743	36043	545299
744	36093	545272
745	36146	545293
746	36192	545210
747	36236	545105
748	36283	545021
749	36330	544952
750	36377	544886
751	36435	544976
752	36488	545002
753	36532	544881
754	36577	544787
755	36621	544670
756	36664	544547
757	36715	544539
758	36763	544479
759	36816	544495
760	36863	544429
761	36917	544453
762	36960	544324
763	37012	544331
764	37059	544262
765	37101	544126
766	37146	544026
767	37190	543913
768	37242	543912
769	37294	543920
770	37338	543804
771	37390	543803
772	37447	543882
773	37501	543920
774	37555	543944
775	37606	543940
776	37655	543889
777	37706	543886
778	37752	543803
779	37804	543796
780	37857	543817
781	37899	543672
782	37947	543617
783	37995	543569
784	38048	543582
785	38095	543521
786	38149	543543
787	38195	543462
788	38240	543357
789	38292	543358
790	38339	543293
791	38391	543303
792	38440	543261
793	38492	543258
794	38536	543151
795	38591	543194
796	38644	543199
797	38701	543281
798	38748	543201
799	38789	543059
800	38838	543016
801	38881	542885
802	38924	542762
803	38968	542645
804	39020	542655
805	39073	542660
806	39150	543009
807	39203	543020
808	39250	542950
809	39300	542923
810	39349	542891
811	39396	542824
812	39438	542684
813	39482	542571
814	39526	542457
815	39575	542419
816	39625	542387
817	39673	542332
818	39722	542296
819	39768	542206
820	39815	542136
821	39866	542130
822	39923	542189
823	39974	542171
824	40026	542179
825	40072	542089
826	40121	542055
827	40171	542029
828	40225	542046
829	40272	541981
830	40319	541916
831	40372	541924
832	40414	541785
833	40472	541858
834	40523	541854
835	40568	541758
836	40625	541821
837	40678	541834
838	40724	541752
839	40771	541674
840	40826	541711
841	40880	541738
842	40934	541763
843	40987	541766
844	41037	541740
845	41092	541782
846	41140	541719
847	41185	541622
848	41227	541486
849	41275	541443
850	41325	541409
851	41372	541333
852	41419	541263
853	41469	541233
854	41524	541274
855	41571	541205
856	41615	541097
857	41666	541085
858	41712	541003
859	41758	540918
860	41801	540800
861	41853	540799
862	41902	540749
863	41951	540702
864	41997	540633
865	42038	540475
866	42093	540520
867	42148	540546
868	42198	540520
869	42242	540409
870	42294	540403
871	42340	540330
872	42382	540188
873	42432	540164
874	42484	540162
875	42538	540174
876	42581	540065
877	42633	540061
878	42689	540107
879	42739	540073
880	42790	540057
881	42841	540041
882	42893	540035
883	42945	540026
884	42996	540010
885	43046	539977
886	43093	539911
887	43146	539915
888	43193	539846
889	43246	539850
890	43297	539839
891	43346	539793
892	43388	539660
893	43434	539584
894	43484	539549
895	43528	539446
896	43573	539352
897	43618	539258
898	43667	539213
899	43717	539177
900	43768	539165
901	43820	539155
902	43862	539031
903	43909	538964
904	43968	539045
905	44022	539055
906	44077	539081
907	44122	538990
908	44174	538981
909	44231	539035
910	44277	538960
911	44327	538926
912	44376	538885
913	44427	538866
914	44481	538885
915	44532	538862
916	44574	538731
917	44620	538648
918	44668	538596
919	44717	538550
920	44760	538443
921	44805	538348
922	44855	538310
923	44906	538295
924	44950	538185
925	45002	538186
926	45050	538127
927	45101	538102
928	45150	538060
929	45206	538103
930	45256	538069
931	45305	538024
932	45347	537901
933	45393	537817
934	45446	537827
935	45495	537785
936	45539	537673
937	45591	537666
938	45644	537666
939	45688	537563
940	45738	537539
941	45789	537517
942	45833	537409
943	45885	537402
944	45934	537355
945	45987	537363
946	46039	537358
947	46085	537279
948	46138	537277
949	46182	537176
950	46235	537172
951	46283	537120
952	46330	537049
953	46380	537020
954	46431	537000
955	46482	536974
956	46530	536919
957	46572	536802
958	46618	536721
959	46663	536627
960	46714	536607
961	46766	536594
962	46817	536580
963	46873	536611
964	46917	536517
965	46974	536563
966	47018	536461
967	47064	536378
968	47110	536296
969	47158	536250
970	47208	536209
971	47259	536187
972	47305	536112
973	47356	536095
974	47408	536085
975	47461	536086
976	47507	536001
977	47551	535902
978	47595	535799
979	47649	535817
980	47691	535695
981	47743	535685
982	47793	535647
983	47843	535612
984	47900	535657
985	47944	535553
986	47988	535461
987	48039	535432
988	48089	535402
989	48133	535301
990	48181	535244
991	48233	535232
992	48292	535300
993	48347	535321
994	48396	535278
995	48444	535227
996	48499	535241
997	48544	535152
998	48597	535156
999	48641	535058
1000	48691	535023
1001	48747	535056
1002	48795	534999
1003	48842	534929
1004	48888	534856
1005	48944	534884
1006	48993	534840
1007	49049	534870
1008	49098	534827
1009	49151	534824
1010	49211	534895
1011	49268	534939
1012	49320	534927
1013	49375	534949
1014	49429	534958
1015	49480	534937
1016	49531	534914
1017	49584	534908
1018	49635	534883
1019	49682	534815
1020	49727	534727
1021	49770	534617
1022	49822	534602
1023	49866	534510
1024	49915	534462
1025	49962	534398
1026	50009	534329
1027	50065	534361
1028	50118	534355
1029	50171	534346
1030	50214	534246
1031	50273	534305
1032	50330	534340
1033	50380	534304
1034	50425	534215
1035	50476	534190
1036	50523	534126
1037	50574	534104
1038	50618	533998
1039	50664	533929
1040	50716	533910
1041	50761	533827
1042	50814	533825
1043	50871	533857
1044	50928	533901
1045	50975	533830
1046	51025	533792
1047	51077	533778
1048	51132	533799
1049	51181	533749
1050	51226	533659
1051	51275	533619
1052	51321	533534
1053	51368	533470
1054	51426	533516
1055	51468	533396
1056	51514	533326
1057	51568	533332
1058	51613	533241
1059	51666	533236
1060	51713	533168
1061	51762	533120
1062	51814	533109
1063	51867	533103
1064	51917	533067
1065	51963	532987
1066	52012	532950
1067	52054	532832
1068	52101	532763
1069	52148	532691
1070	52196	532637
1071	52241	532547
1072	52284	532446
1073	52339	532458
1074	52386	532397
1075	52432	532312
1076	52485	532311
1077	52538	532306
1078	52588	532272
1079	52644	532299
1080	52695	532265
1081	52745	532233
1082	52796	532206
1083	52850	532212
1084	52901	532185
1085	52952	532157
1086	52997	532070
1087	53054	532101
1088	53105	532074
1089	53158	532075
1090	53208	532031
1091	53253	531947
1092	53294	531823
1093	53342	531764
1094	53384	531646
1095	53434	531612
1096	53482	531561
1097	53530	531502
1098	53577	531434
1099	53629	531423
1100	53680	531397
1101	53731	531365
1102	53780	531320
1103	53825	531232
1104	53879	531233
1105	53932	531232
1106	53981	531186
1107	54032	531159
1108	54088	531177
1109	54136	531119
1110	54186	531089
1111	54239	531079
1112	54290	531055
1113	54331	530927
1114	54375	530833
1115	54427	530814
1116	54469	530700
1117	54517	530641
1118	54565	530587
1119	54614	530539
1120	54666	530523
1121	54714	530470
1122	54769	530474
1123	54810	530355
1124	54867	530384
1125	54914	530321
1126	54967	530315
1127	55012	530226
1128	55057	530144
1129	55103	530062
1130	55158	530073
1131	55212	530081
1132	55260	530026
1133	55314	530020
1134	55366	530004
1135	55419	529995
1136	55468	529952
1137	55521	529946
1138	55569	529882
1139	55618	529836
1140	55668	529802
1141	55710	529686
1142	55757	529625
1143	55806	529572
1144	55850	529485
1145	55895	529399
1146	55939	529299
1147	55985	529229
1148	56035	529191
1149	56092	529218
1150	56143	529192
1151	56188	529112
1152	56238	529072
1153	56297	529115
1154	56344	529051
1155	56398	529049
1156	56447	529010
1157	56494	528939
1158	56538	528846
1159	56586	528786
1160	56635	528748
1161	56683	528692
1162	56735	528666
1163	56785	528629
1164	56836	528605
1165	56888	528582
1166	56936	528530
1167	56987	528496
1168	57029	528391
1169	57072	528290
1170	57117	528204
1171	57158	528081
1172	57210	528059
1173	57265	528067
1174	57312	528007
1175	57360	527951
1176	57406	527880
1177	57451	527791
1178	57504	527781
1179	57551	527721
1180	57608	527745
1181	57659	527713
1182	57711	527699
1183	57758	527628
1184	57810	527608
1185	57863	527606
1186	57918	527607
1187	57959	527490
1188	58002	527392
1189	58057	527395
1190	58100	527291
1191	58148	527235
1192	58197	527190
1193	58241	527101
1194	58290	527055
1195	58344	527048
1196	58395	527021
1197	58447	527004
1198	58493	526924
1199	58535	526821
1200	58583	526759
1201	58634	526732
1202	58682	526679
1203	58738	526697
1204	58791	526688
1205	58847	526696
1206	58895	526639
1207	58941	526567
1208	58993	526552
1209	59050	526572
1210	59095	526491
1211	59145	526450
1212	59187	526340
1213	59236	526297
1214	59284	526242
1215	59338	526240
1216	59394	526251
1217	59443	526209
1218	59494	526173
1219	59542	526118
1220	59594	526098
1221	59642	526040
1222	59695	526037
1223	59742	525965
1224	59791	525923
1225	59842	525891
1226	59885	525787
1227	59937	525773
1228	59991	525764
1229	60041	525730
1230	60087	525659
1231	60134	525591
1232	60184	525553
1233	60233	525503
1234	60279	525435
1235	60324	525345
1236	60367	525248
1237	60417	525215
1238	60470	525196
1239	60522	525179
1240	60566	525086
1241	60614	525029
1242	60663	524985
1243	60717	524980
1244	60770	524972
1245	60829	525005
1246	60876	524944
1247	60918	524837
1248	60970	524816
1249	61028	524847
1250	61080	524824
1251	61127	524761
1252	61174	524694
1253	61254	524915
1254	61309	524915
1255	61360	524884
1256	61417	524906
1257	61468	524878
1258	61522	524873
1259	61570	524815
1260	61622	524796
1261	61674	524769
1262	61725	524736
1263	61781	524754
1264	61832	524723
1265	61884	524695
1266	61929	524617
1267	61977	524556
1268	62022	524474
1269	62073	524449
1270	62121	524393
1271	62168	524326
1272	62218	524287
1273	62268	524244
1274	62322	524239
1275	62373	524208
1276	62423	524175
1277	62479	524178
1278	62524	524096
1279	62573	524049
1280	62624	524023
1281	62671	523953
1282	62719	523898
1283	62771	523874
1284	62822	523844
1285	62864	523741
1286	62918	523731
1287	62968	523690
1288	63013	523614
1289	63067	523607
1290	63116	523557
1291	63173	523577
1292	63231	523600
1293	63284	523589
1294	63330	523513
1295	63373	523419
1296	63424	523386
1297	63474	523343
1298	63528	523340
1299	63583	523338
1300	63637	523331
1301	63687	523296
1302	63732	523210
1303	63776	523121
1304	63816	523005
1305	63864	522942
1306	63922	522967
1307	63974	522948
1308	64027	522931
1309	64078	522898
1310	64131	522887
1311	64183	522864
1312	64233	522823
1313	64278	522736
1314	64323	522658
1315	64377	522648
1316	64425	522597
1317	64474	522550
1318	64525	522515
1319	64577	522493
1320	64625	522438
1321	64687	522489
1322	64743	522500
1323	64799	522510
1324	64856	522523
1325	64905	522471
1326	64964	522506
1327	65016	522480
1328	65065	522435
1329	65117	522406
1330	65166	522358
1331	65212	522287
1332	65271	522316
1333	65323	522293
1334	65365	522187
1335	65413	522136
1336	65464	522096
1337	65516	522073
1338	65564	522022
1339	65618	522006
1340	65664	521940
1341	65715	521903
1342	65766	521871
1343	65815	521822
1344	65858	521723
1345	65908	521685
1346	65952	521598
1347	66027	521750
1348	66077	521716
1349	66127	521675
1350	66176	521620
1351	66230	521614
1352	66278	521559
1353	66330	521532
1354	66387	521543
1355	66431	521461
1356	66474	521360
1357	66554	521558
1358	66611	521571
1359	66651	521451
1360	66700	521397
1361	66754	521392
1362	66805	521357
1363	66856	521327
1364	66905	521276
1365	66959	521262
1366	67016	521275
1367	67074	521294
1368	67118	521208
1369	67164	521134
1370	67210	521064
1371	67266	521069
1372	67324	521093
1373	67377	521069
1374	67428	521036
1375	67476	520978
1376	67526	520937
1377	67576	520895
1378	67623	520833
1379	67668	520754
1380	67715	520690
1381	67764	520640
1382	67818	520629
1383	67860	520526
1384	67901	520412
1385	67951	520376
1386	68004	520357
1387	68050	520285
1388	68100	520240
1389	68150	520200
1390	68193	520100
1391	68241	520050
1392	68294	520031
1393	68345	519991
1394	68393	519936
1395	68442	519884
1396	68498	519890
1397	68555	519904
1398	68607	519877
1399	68659	519851
1400	68709	519811
1401	68753	519720
1402	68804	519686
1403	68856	519663
1404	68904	519606
1405	68955	519571
1406	69002	519508
1407	69045	519408
1408	69091	519341
1409	69145	519323
1410	69188	519229
1411	69238	519193
1412	69290	519164
1413	69340	519118
1414	69391	519084
1415	69446	519081
1416	69499	519060
1417	69546	518995
1418	69595	518949
1419	69639	518866
1420	69689	518817
1421	69731	518722
1422	69785	518710
1423	69835	518665
1424	69886	518633
1425	69933	518569
